%freq	 restricted cosi ULs
250.5	 3.8717265210898286e-25
251.5	 3.8850313613706257e-25
252.5	 3.886919723165531e-25
253.5	 3.8922573142756603e-25
254.5	 3.8944990948109494e-25
255.5	 3.9000000000000004e-25
256.5	 3.9125061111104963e-25
257.5	 3.9232350240139604e-25
258.5	 3.9290613336128437e-25
259.5	 3.9343875177655698e-25
260.5	 3.9414567493164796e-25
261.5	 3.951681374746497e-25
262.5	 3.959097608954106e-25
263.5	 3.963994450996611e-25
264.5	 3.9714173294768357e-25
266.5	 3.9846014988195215e-25
267.5	 3.988404286465595e-25
268.5	 3.9981178447370303e-25
269.5	 4.006238816307565e-25
270.5	 4.015588094590437e-25
271.5	 4.0248203940591887e-25
272.5	 4.0340620920097544e-25
273.5	 4.057271627437595e-25
274.5	 4.199655332719344e-25
275.5	 4.190128820419786e-25
276.5	 4.1235352677648467e-25
277.5	 4.0887962140681667e-25
278.5	 4.265962859547327e-25
279.5	 4.352185310282802e-25
280.5	 4.470115118006817e-25
281.5	 4.415736273754952e-25
282.5	 4.187616324775527e-25
283.5	 4.1111298904256524e-25
284.5	 4.1723638855627355e-25
285.5	 4.18511462053843e-25
286.5	 4.195755042669884e-25
287.5	 4.141106011779646e-25
288.5	 4.141281380740893e-25
289.5	 4.149310817708232e-25
290.5	 4.157361862452685e-25
291.5	 4.16545777234105e-25
292.5	 4.176237334909622e-25
293.5	 4.184980985500323e-25
294.5	 4.196780653897754e-25
295.5	 4.206063573758448e-25
296.5	 4.214370204316254e-25
297.5	 4.228644566436269e-25
298.5	 4.278814224484428e-25
299.5	 4.376699869426987e-25
300.5	 4.275822955125851e-25
301.5	 4.311930778062096e-25
302.5	 4.318313713015423e-25
303.5	 4.285385552902169e-25
304.5	 4.281427971432001e-25
305.5	 4.359741695211107e-25
306.5	 4.311006296526741e-25
307.5	 4.311689348404649e-25
308.5	 4.313480834904974e-25
309.5	 4.319598563050008e-25
310.5	 4.329188617679608e-25
311.5	 4.346278055740945e-25
312.5	 4.36235064755768e-25
313.5	 4.382546236818963e-25
314.5	 4.5271306680577245e-25
315.5	 4.4044310330959985e-25
316.5	 4.403237341358635e-25
317.5	 4.410487465788486e-25
318.5	 4.423512366503535e-25
319.5	 4.436613448296293e-25
320.5	 4.449810023429144e-25
321.5	 4.463170064908805e-25
322.5	 4.472481235205397e-25
324.5	 4.493334872245529e-25
325.5	 4.5102034958945935e-25
326.5	 4.517057297053743e-25
327.5	 4.529120226007007e-25
328.5	 4.541336143638316e-25
329.5	 4.757362362931512e-25
330.5	 4.906036384902478e-25
331.5	 4.840778666691737e-25
334.5	 4.5614476794956485e-25
335.5	 4.564250984191021e-25
336.5	 4.5774318825812095e-25
337.5	 4.574746545174282e-25
338.5	 4.58206786539384e-25
339.5	 4.589066398431809e-25
340.5	 4.595994477254415e-25
341.5	 4.604590153971105e-25
342.5	 4.612651129425721e-25
343.5	 4.628935112079811e-25
344.5	 4.645614833677344e-25
345.5	 4.651367038669108e-25
346.5	 4.665415627996911e-25
347.5	 4.675741152138613e-25
348.5	 4.686345370765894e-25
349.5	 4.697917773675552e-25
350.5	 4.713024019842532e-25
351.5	 4.714692307044655e-25
352.5	 4.725047668086e-25
353.5	 4.734392938086304e-25
354.5	 4.754671406322132e-25
355.5	 4.77471966442287e-25
356.5	 4.767853417114099e-25
357.5	 4.777426614965238e-25
358.5	 4.791020085278491e-25
359.5	 4.841438845365008e-25
360.5	 4.800128793299721e-25
361.5	 4.801272934244946e-25
362.5	 4.804671347810878e-25
363.5	 4.808229575903494e-25
364.5	 4.818330472741987e-25
365.5	 4.825723563021906e-25
366.5	 4.834643947320128e-25
367.5	 4.843281979080473e-25
368.5	 4.851593847391171e-25
369.5	 4.857373179454981e-25
370.5	 4.859139011476532e-25
371.5	 4.865115701296063e-25
372.5	 4.877156369723615e-25
373.5	 4.886154840935237e-25
374.5	 4.895350537016711e-25
375.5	 4.908386787399401e-25
376.5	 4.914613286992126e-25
377.5	 4.925851045362519e-25
378.5	 4.931641284234127e-25
379.5	 4.9349262048001705e-25
380.5	 4.946736720932089e-25
381.5	 4.948866004341315e-25
382.5	 4.961740842142017e-25
383.5	 4.972368337289297e-25
384.5	 4.973384281937053e-25
385.5	 4.9855800264640635e-25
386.5	 4.9958578555319725e-25
387.5	 5.0056518841362585e-25
388.5	 5.014977366924486e-25
389.5	 5.022329253784625e-25
390.5	 5.038155541110788e-25
391.5	 5.050404330980134e-25
392.5	 5.06186688926686e-25
393.5	 5.071456594446958e-25
394.5	 5.0844186816005535e-25
395.5	 5.105369972757299e-25
396.5	 5.127322467177821e-25
397.5	 5.148184167281949e-25
398.5	 5.166542865348646e-25
399.5	 5.170747480561108e-25
400.5	 5.181206406767549e-25
401.5	 5.190591354926179e-25
402.5	 5.204440413614062e-25
403.5	 5.211269779497309e-25
404.5	 5.217662689211357e-25
405.5	 5.218878419530179e-25
406.5	 5.228033250553376e-25
407.5	 5.243821388472857e-25
408.5	 5.268802850575329e-25
409.5	 5.286280008343224e-25
410.5	 5.292788711805249e-25
411.5	 5.288744409833851e-25
412.5	 5.2863586069829715e-25
413.5	 5.28805153134159e-25
414.5	 5.301405874105512e-25
415.5	 5.32759731861841e-25
